Cluster,Gene,PCT 1,PCT 2,PCT Ratio,p value,Average Log2FC
PVT-2,Adarb1,0.988,0.972,1.016460905,6.65E-18,0.304153119
PVT-5,Srrm4,0.986,0.97,1.016494845,0.000451861,0.319262883
PVT-3,Pakap,0.981,0.965,1.016580311,2.27E-09,0.401323373
PVT-3,Sh3kbp1,0.97,0.954,1.016771488,0.016270399,0.340233687
PVT-1,Myrip,0.957,0.941,1.017003188,2.21E-08,0.230258698
PVT-4,Plxna4,1,0.983,1.017293998,3.83E-35,0.607731428
PVT-5,Frmpd4,1,0.983,1.017293998,0.011919643,0.21030812
PVT-2,Grip1,0.999,0.982,1.017311609,2.26E-165,0.924689518
PVT-2,Stxbp5l,0.998,0.981,1.017329256,4.81E-45,0.447004968
PVT-4,Ablim1,0.997,0.98,1.017346939,1.13E-13,0.361000871
PVT-3,Nav1,0.992,0.975,1.017435897,1.31E-07,0.365641012
PVT-2,St6galnac5,0.991,0.974,1.017453799,5.84E-07,0.223772446
PVT-1,Tmem132b,0.984,0.967,1.017580145,0.004693125,0.119101757
PVT-1,Scn9a,0.972,0.955,1.017801047,6.32E-05,0.156355499
PVT-1,Eml5,0.956,0.939,1.018104366,0.000166136,0.163325524
PVT-3,Nr6a1,0.951,0.934,1.018201285,0.000821844,0.361813035
PVT-5,Rorb,1,0.982,1.018329939,6.29E-34,0.72852115
PVT-3,Tenm3,0.996,0.978,1.018404908,3.71E-112,1.57764782
PVT-3,Ppp1r9a,0.996,0.978,1.018404908,1.02E-08,0.358875341
PVT-1,Ppm1l,0.994,0.976,1.018442623,5.35E-40,0.389757509
PVT-1,Atrnl1,0.989,0.971,1.01853759,1.19E-43,0.439878417
PVT-3,Rev3l,0.989,0.971,1.01853759,1.07E-11,0.398756728
PVT-4,Rev3l,0.989,0.971,1.01853759,5.35E-18,0.434886778
PVT-4,Sema6d,0.983,0.965,1.01865285,4.39E-15,-0.579493718
PVT-2,Rsrc1,0.978,0.96,1.01875,0.001540752,0.204333727
PVT-4,Abr,0.972,0.954,1.018867925,0.000247758,0.294345323
PVT-3,Zfp423,0.966,0.948,1.018987342,0.040106134,0.26535578
PVT-4,Aopep,0.953,0.935,1.019251337,1.66E-06,0.361002794
PVT-1,Ndst3,0.95,0.932,1.019313305,0.00012817,-0.313508123
PVT-3,Ptprm,1,0.981,1.019367992,1.68E-76,1.164130741
PVT-5,Ptprm,1,0.981,1.019367992,1.13E-16,0.525677529
PVT-1,Gabra4,0.996,0.977,1.019447288,1.26E-15,0.233549179
PVT-5,Nell1,0.995,0.976,1.019467213,1.38E-10,0.394146368
PVT-2,Enox1,0.994,0.975,1.019487179,3.77E-05,0.217422615
PVT-1,Slit3,0.932,0.914,1.019693654,7.81E-06,0.221401822
PVT-3,Maml3,0.932,0.914,1.019693654,3.00E-05,0.527968702
PVT-3,Nedd4l,0.932,0.914,1.019693654,0.023739112,0.304322868
PVT-1,Scai,0.982,0.963,1.01973001,4.48E-13,0.265894343
PVT-2,Pitpnc1,0.928,0.91,1.01978022,0.010657371,0.244242019
PVT-1,Trank1,0.978,0.959,1.019812304,2.97E-07,0.191310533
PVT-4,Fxr1,0.873,0.856,1.019859813,0.016526061,0.277170377
PVT-1,Ctnna3,0.975,0.956,1.019874477,0.018684309,0.1137532
PVT-2,Hcn1,0.974,0.955,1.019895288,2.33E-05,-0.183045118
PVT-5,Cntnap5c,0.967,0.948,1.020042194,9.68E-06,0.456227084
PVT-5,Farp1,0.967,0.948,1.020042194,0.000118238,0.353504982
PVT-1,Dab1,0.91,0.892,1.020179372,0.000325112,0.19288395
PVT-4,Ptprm,1,0.98,1.020408163,3.51E-22,0.528279655
PVT-4,Pak3,0.997,0.977,1.020470829,9.91E-12,0.378736294
PVT-2,Rgs7bp,0.987,0.967,1.020682523,1.02E-55,0.534472841
PVT-1,Tmtc2,0.986,0.966,1.020703934,4.00E-10,0.192025797
PVT-4,Trim2,0.986,0.966,1.020703934,2.96E-15,0.419040481
PVT-4,Trank1,0.983,0.963,1.020768432,0.003833836,0.244827838
PVT-4,Kcnq5,1,0.979,1.02145046,2.26E-61,0.72508923
PVT-1,Ablim3,0.904,0.885,1.021468927,3.55E-06,0.236821068
PVT-4,Cacng2,0.95,0.93,1.021505376,0.000500356,0.300248974
PVT-3,Gria1,0.996,0.975,1.021538462,3.63E-13,0.384189353
PVT-1,Fam189a1,0.995,0.974,1.021560575,1.13E-23,0.315651936
PVT-4,Slc8a3,0.992,0.971,1.021627188,4.88E-25,0.541395811
PVT-1,Inpp5a,0.941,0.921,1.021715527,3.21E-12,0.286442613
PVT-4,Msi2,0.975,0.954,1.022012579,1.48E-10,0.410586973
PVT-2,Rapgef2,0.955,0.934,1.02248394,0.0015678,0.205355409
PVT-5,Brinp3,1,0.978,1.022494888,8.47E-15,0.459815949
PVT-1,Frmpd4,0.999,0.977,1.022517912,2.78E-11,0.198669196
PVT-4,Ldb2,0.994,0.972,1.022633745,1.38E-18,0.435940966
PVT-3,Dock9,0.989,0.967,1.022750776,1.03E-07,0.322527188
PVT-4,Grik1,0.937,0.916,1.022925764,3.14E-08,0.822776525
PVT-2,Slc24a2,0.886,0.866,1.023094688,1.12E-12,0.514383539
PVT-3,Grb10,0.97,0.948,1.023206751,3.30E-07,0.402745564
PVT-4,Fgfr2,0.97,0.948,1.023206751,2.64E-06,0.355673527
PVT-4,Ascc3,0.97,0.948,1.023206751,0.01653048,0.227694657
PVT-2,Nol4,0.967,0.945,1.023280423,5.31E-05,0.232109444
PVT-1,Bach2,0.869,0.849,1.023557126,0.014557396,0.179812984
PVT-1,Gabra2,0.999,0.976,1.023565574,1.42E-99,0.60467186
PVT-3,Asic2,0.996,0.973,1.023638232,2.15E-122,2.543062242
PVT-1,Mllt3,0.99,0.967,1.023784902,6.18E-15,0.204039914
PVT-1,Ap2a2,0.9,0.879,1.023890785,0.001071817,0.182180826
PVT-1,Hcn1,0.98,0.957,1.024033438,9.69E-25,0.330022264
PVT-1,Nrg3os,0.977,0.954,1.024109015,3.09E-13,0.274068878
PVT-1,Kcnq5,0.998,0.974,1.024640657,8.13E-27,0.281406476
PVT-3,Mllt3,0.996,0.972,1.024691358,1.08E-27,0.637571249
PVT-5,Tmtc2,0.995,0.971,1.024716787,1.82E-13,0.522444588
PVT-3,Tmcc3,0.992,0.968,1.024793388,2.54E-50,0.857619814
PVT-5,Syt16,0.948,0.925,1.024864865,1.32E-07,0.502304515
PVT-1,Runx1t1,0.982,0.958,1.025052192,4.89E-09,0.107694295
PVT-4,Ext1,0.893,0.871,1.025258324,0.006743329,0.33529032
PVT-1,Rtn4rl1,0.925,0.902,1.025498891,0.007453042,0.174058477
PVT-3,Csmd2,1,0.975,1.025641026,1.56E-24,0.575081569
PVT-3,Nebl,1,0.975,1.025641026,9.64E-17,0.515431807
PVT-1,Nebl,0.994,0.969,1.025799794,6.08E-14,0.215902031
PVT-1,Miat,0.902,0.879,1.026166098,0.001387468,0.184003665
PVT-2,B3galt1,1,0.974,1.026694045,2.37E-99,0.645359697
PVT-2,Grid1,0.999,0.973,1.02672148,8.46E-94,0.652565456
PVT-3,Trim2,0.992,0.966,1.026915114,9.77E-30,0.698764979
PVT-3,Ptk2,0.992,0.966,1.026915114,9.75E-08,0.380170378
PVT-2,Lrch1,0.987,0.961,1.027055151,3.35E-36,0.426679839
PVT-1,Clstn2,0.91,0.886,1.027088036,0.016832934,0.22728379
PVT-1,Sphkap,0.981,0.955,1.027225131,2.36E-05,0.170954969
PVT-2,Arhgap24,0.981,0.955,1.027225131,7.47E-22,0.415395793
PVT-2,Ildr2,0.979,0.953,1.027282267,1.05E-19,0.33050061
PVT-3,Arfgef3,0.985,0.958,1.028183716,1.46E-05,0.314844901
PVT-4,Maml3,0.939,0.913,1.028477547,3.86E-06,0.508967807
PVT-1,Prkcg,0.968,0.941,1.02869288,1.08E-10,0.237728261
PVT-1,St6galnac3,0.853,0.829,1.028950543,1.79E-05,0.253203906
PVT-2,Fam189a1,0.995,0.967,1.028955533,9.16E-05,0.179914059
PVT-4,Foxn3,0.994,0.966,1.028985507,4.18E-05,0.291437342
PVT-4,Gm20642,0.994,0.966,1.028985507,0.003226389,0.266219313
PVT-2,Fryl,0.957,0.93,1.029032258,2.80E-09,0.282904411
PVT-2,Ppm1h,0.981,0.953,1.029380902,2.60E-47,0.519583266
PVT-1,Mtcl1,0.874,0.849,1.029446408,0.003161006,0.208559743
PVT-4,Grb10,0.975,0.947,1.029567054,9.69E-07,0.339019629
PVT-3,Tmem132c,0.868,0.843,1.029655991,0.001638112,0.446868303
PVT-2,Camk2a,0.965,0.937,1.029882604,5.70E-06,0.187375236
PVT-3,Prr16,0.992,0.963,1.030114226,4.01E-13,0.532607223
PVT-4,Ripor2,0.992,0.963,1.030114226,4.49E-05,0.283436268
PVT-2,Igf1r,0.989,0.96,1.030208333,8.06E-22,0.351603933
PVT-3,Ddx5,0.989,0.96,1.030208333,0.02088799,0.281060558
PVT-2,Trim9,0.982,0.953,1.03043022,1.84E-06,0.220279943
PVT-4,Gm1043,0.948,0.92,1.030434783,0.01823735,0.253235036
PVT-3,Kif5c,0.977,0.948,1.030590717,1.68E-07,0.347126765
PVT-3,Cmip,0.977,0.948,1.030590717,0.000130454,0.293443786
PVT-3,Htr7,0.943,0.915,1.030601093,0.005129171,0.344294681
PVT-5,Zfp423,0.976,0.947,1.03062302,1.75E-12,0.532278922
PVT-2,Rab6b,0.939,0.911,1.030735456,4.18E-08,0.254937837
PVT-4,Lrrc49,0.939,0.911,1.030735456,4.35E-05,0.334037853
PVT-4,Rtn4rl1,0.934,0.906,1.030905077,6.56E-05,0.331538609
PVT-4,Mllt3,1,0.97,1.030927835,2.32E-48,0.688287961
PVT-5,Tmem132b,1,0.97,1.030927835,2.07E-15,0.536443566
PVT-2,Frmpd4,0.999,0.969,1.030959752,2.24E-24,0.34604685
PVT-3,Mirg,0.932,0.904,1.030973451,0.031318673,0.295391918
PVT-3,Arpp21,0.996,0.966,1.031055901,2.79E-22,0.591247916
PVT-2,Mctp1,0.956,0.927,1.031283711,1.70E-33,0.582302493
PVT-2,Ywhag,0.916,0.888,1.031531532,0.006163233,0.210674884
PVT-4,Rasgrf2,0.981,0.951,1.031545741,1.18E-13,0.409731685
PVT-3,Gse1,0.879,0.852,1.031690141,0.000111633,0.43990751
PVT-2,Cux1,0.968,0.938,1.031982942,1.62E-09,0.246562872
PVT-3,Msi2,0.985,0.954,1.032494759,1.78E-11,0.445208629
PVT-1,Rps6ka3,0.911,0.882,1.032879819,6.84E-05,0.22109534
PVT-5,Tmcc3,1,0.968,1.033057851,5.73E-10,0.407702479
PVT-2,Grm1,0.997,0.965,1.033160622,2.47E-21,0.312449968
PVT-1,Srrm4,0.993,0.961,1.033298647,2.65E-06,0.179212825
PVT-1,Acyp2,0.96,0.929,1.033369214,1.05E-13,0.309012012
PVT-1,Dock11,0.832,0.805,1.033540373,0.00028791,0.230064342
PVT-2,Ndrg4,0.954,0.923,1.033586132,8.33E-12,0.290145834
PVT-2,Nr3c1,0.964,0.932,1.034334764,4.35E-20,0.36108601
PVT-1,Tmcc3,0.993,0.96,1.034375,1.30E-28,0.312519209
PVT-3,Ntrk3,0.992,0.959,1.034410845,1.70E-05,0.332190547
PVT-1,Dgkh,0.894,0.864,1.034722222,5.57E-05,0.187980129
PVT-2,Ppm1e,0.977,0.944,1.034957627,1.30E-08,0.248983632
PVT-1,Ttll7,0.917,0.886,1.034988713,0.000517319,0.192729327
PVT-3,Adgra1,0.917,0.886,1.034988713,0.003447551,0.369437876
PVT-3,Lrrc49,0.943,0.911,1.035126235,9.40E-05,0.366796704
PVT-4,Tmcc3,1,0.966,1.035196687,8.04E-17,0.425144605
PVT-5,Arpp21,1,0.966,1.035196687,6.64E-38,0.766085159
PVT-1,Nmt2,0.941,0.909,1.03520352,3.23E-08,0.239459664
PVT-1,Ano5,0.851,0.822,1.035279805,1.64E-08,0.295128847
PVT-3,Runx1t1,0.996,0.962,1.035343035,1.86E-58,1.028872885
PVT-2,Gria1,0.995,0.961,1.035379813,6.63E-33,0.413550592
PVT-2,Stxbp1,0.956,0.923,1.035752979,0.005100186,0.173483979
PVT-4,Klhdc10,0.981,0.947,1.035902851,0.002129309,0.271793814
PVT-5,Fut9,0.981,0.947,1.035902851,2.36E-08,0.423890311
PVT-2,Fam126b,0.951,0.918,1.035947712,7.99E-05,0.191512462
PVT-1,Zfp804b,0.978,0.944,1.036016949,3.22E-06,-0.629195122
PVT-2,Ccdc136,0.976,0.942,1.036093418,0.000139959,0.180696277
PVT-3,Senp7,0.913,0.881,1.036322361,0.006364988,0.357614097
PVT-1,Dclk2,0.94,0.907,1.036383682,1.12E-10,0.26217551
PVT-3,Lrrfip1,0.936,0.903,1.03654485,5.01E-06,0.401969615
PVT-2,Srrm4,0.989,0.954,1.036687631,1.43E-08,0.207621214
PVT-4,C2cd5,0.986,0.951,1.036803365,7.06E-06,0.299895303
PVT-3,Atp8a1,0.951,0.917,1.037077426,0.000194028,0.372112515
PVT-4,Ptprn,0.978,0.943,1.037115589,6.19E-14,0.445446029
PVT-3,Bbs9,0.917,0.884,1.037330317,0.00022963,0.36432037
PVT-4,Runx1t1,0.997,0.961,1.037460978,1.61E-59,0.891094448
PVT-1,Ripor2,0.992,0.956,1.037656904,1.99E-48,0.451113354
PVT-4,Ap2b1,0.904,0.871,1.037887486,0.010081142,0.284754002
PVT-3,Car10,0.985,0.949,1.037934668,3.31E-06,0.306445324
PVT-1,Atp11c,0.925,0.891,1.038159371,8.61E-10,0.274017571
PVT-1,Cacna2d3,0.978,0.942,1.038216561,1.17E-05,0.204090864
PVT-4,Dclk2,0.948,0.913,1.038335159,7.73E-06,0.360548652
PVT-1,Ldb2,1,0.963,1.038421599,5.83E-82,0.560694473
PVT-3,Gm26871,1,0.963,1.038421599,3.47E-11,0.383640304
PVT-3,Aopep,0.97,0.934,1.038543897,1.53E-19,0.584736749
PVT-3,Nos1ap,0.943,0.908,1.038546256,1.02E-12,0.525652951
PVT-4,Pdzd4,0.882,0.849,1.038869258,0.047629511,0.244920148
PVT-4,Tnks,0.934,0.899,1.038932147,3.70E-06,0.37619369
PVT-3,Ptprn,0.981,0.944,1.039194915,8.44E-09,0.424187351
PVT-4,Scn9a,0.994,0.956,1.039748954,9.51E-07,0.307048597
PVT-1,Fgd4,0.939,0.903,1.03986711,1.30E-21,0.331128394
PVT-1,Smarca2,0.962,0.925,1.04,1.77E-19,0.31617195
PVT-4,Xpr1,0.884,0.85,1.04,0.001487478,0.320641756
PVT-2,Slc35f3,0.959,0.922,1.040130152,6.16E-26,0.461618023
PVT-3,Garnl3,0.958,0.921,1.040173724,2.44E-05,0.419431047
PVT-4,Spire1,0.978,0.94,1.040425532,0.00169292,0.261440665
PVT-4,Gm26871,1,0.961,1.040582726,1.38E-39,0.591554109
PVT-4,Map6,0.948,0.911,1.040614709,9.63E-05,0.300493536
PVT-5,Smarca2,0.972,0.934,1.040685225,7.69E-09,0.466968677
PVT-3,Hs6st3,0.966,0.928,1.040948276,4.15E-13,0.634894556
PVT-2,Kcnn2,0.989,0.95,1.041052632,2.07E-59,0.588002245
PVT-1,Ddah1,0.963,0.925,1.041081081,4.59E-07,0.193092721
PVT-4,Cobl,0.934,0.897,1.041248606,0.023293029,0.195836912
PVT-3,Gm1043,0.958,0.92,1.041304348,0.006726742,0.313056648
PVT-3,Ralgapa2,0.955,0.917,1.041439477,0.012558433,0.303027021
PVT-3,Zmynd8,0.97,0.931,1.04189044,0.026661135,0.260127154
PVT-1,Gm28905,0.992,0.952,1.042016807,8.14E-44,0.439103307
PVT-1,Lingo1,0.94,0.902,1.042128603,5.42E-05,0.153369189
PVT-1,Arl3,0.841,0.807,1.042131351,1.61E-06,0.272657586
PVT-1,Vwc2,0.985,0.945,1.042328042,2.99E-25,0.365918163
PVT-4,Parp8,0.934,0.896,1.042410714,0.019385463,0.255027341
PVT-1,Lmo7,0.907,0.87,1.042528736,5.09E-11,0.293181412
PVT-1,Sdk2,0.929,0.891,1.042648709,0.010228971,0.159830797
PVT-3,Rasgrf2,0.992,0.951,1.043112513,2.13E-19,0.60778075
PVT-3,Sdk1,0.891,0.854,1.043325527,1.39E-18,1.080737057
PVT-4,Syt14,0.915,0.877,1.043329532,0.000886636,0.34917543
PVT-5,Plcl2,0.91,0.872,1.043577982,0.002376263,0.380904225
PVT-5,Nedd4l,0.953,0.913,1.04381161,1.00E-05,0.41220058
PVT-5,Kitl,0.953,0.913,1.04381161,0.015261924,0.325055159
PVT-4,Plcb1,0.994,0.952,1.044117647,6.98E-28,0.567993812
PVT-4,Pid1,0.898,0.86,1.044186047,0.000505399,0.33756694
PVT-1,Sgsm1,0.873,0.836,1.044258373,0.003689647,0.177054125
PVT-3,Prkcb,0.989,0.947,1.044350581,5.06E-21,0.602481681
PVT-3,Nxpe4,0.823,0.788,1.044416244,0.000965592,0.507381938
PVT-4,Tmem131l,0.774,0.741,1.044534413,0.027442372,0.363388225
PVT-3,Rbfox3,0.958,0.917,1.044711014,1.11E-06,0.377898479
PVT-1,Cntnap5c,0.979,0.937,1.044823906,2.17E-14,0.232459947
PVT-3,Plcb1,0.996,0.953,1.045120672,5.84E-21,0.648337835
PVT-4,Fnbp1l,0.992,0.949,1.045310854,1.99E-16,0.44116603
PVT-3,Cntnap5c,0.989,0.946,1.045454545,4.08E-11,0.514344733
PVT-5,Atp10a,0.934,0.893,1.045912654,1.57E-05,0.452147503
PVT-1,Mgat5,0.887,0.848,1.045990566,6.57E-07,0.224006136
PVT-5,Rasgef1b,0.976,0.933,1.046087889,5.38E-21,0.702983674
PVT-4,Stx16,0.725,0.693,1.046176046,0.001681523,0.462932974
PVT-4,Ttll11,0.948,0.906,1.046357616,4.49E-08,0.402233869
PVT-3,St7,0.902,0.862,1.046403712,0.002745187,0.317092707
PVT-3,Chst11,0.898,0.858,1.046620047,1.47E-10,0.572774911
PVT-4,Rtl4,0.983,0.939,1.04685836,4.39E-05,0.306537367
PVT-4,Slc22a17,0.826,0.789,1.046894804,0.032159406,0.303449812
PVT-4,Pard3,0.959,0.916,1.046943231,0.010752358,0.280390659
PVT-2,Phf24,0.914,0.873,1.04696449,0.009037145,0.212906929
PVT-4,Gse1,0.89,0.85,1.047058824,9.47E-05,0.350818406
PVT-3,Shank2,0.974,0.93,1.047311828,1.14E-13,0.584452801
PVT-5,Cacna2d3,0.995,0.95,1.047368421,1.23E-08,0.485579463
PVT-3,Olfm1,0.902,0.861,1.047619048,5.80E-07,0.451906891
PVT-2,Specc1,0.962,0.918,1.047930283,1.71E-06,0.222778887
PVT-4,Arglu1,0.959,0.915,1.048087432,0.000164166,0.321276227
PVT-3,Fyn,0.977,0.932,1.048283262,4.00E-16,0.551077209
PVT-3,Rasgef1b,0.977,0.932,1.048283262,2.24E-11,0.532553613
PVT-3,Fnbp1l,0.996,0.95,1.048421053,4.84E-33,0.671107627
PVT-2,Mbp,0.822,0.784,1.048469388,0.003828831,0.338769526
PVT-2,Stmn1,0.856,0.816,1.049019608,0.032683818,0.270543554
PVT-2,Phactr2,0.961,0.916,1.049126638,2.42E-10,0.283705638
PVT-5,Dab1,0.939,0.895,1.049162011,7.15E-07,0.623817316
PVT-5,Plcb1,1,0.953,1.049317943,1.26E-21,0.696785845
PVT-1,Snca,0.913,0.87,1.049425287,1.73E-05,0.244969282
PVT-4,Robo2,0.994,0.947,1.049630412,1.20E-23,0.558839324
PVT-2,Gpc6,0.992,0.945,1.04973545,3.40E-166,1.094594548
PVT-2,Prr16,0.99,0.943,1.049840933,2.51E-27,0.416843847
PVT-2,Clmn,0.964,0.918,1.050108932,1.13E-10,0.260800589
PVT-3,Slit3,0.962,0.916,1.050218341,3.39E-10,0.474471736
PVT-2,Snrpn,0.896,0.853,1.050410317,0.000568122,0.257821552
PVT-2,Zfp804b,0.979,0.932,1.050429185,3.50E-149,1.287687878
PVT-3,Kitl,0.958,0.912,1.050438596,3.89E-23,0.878528387
PVT-1,Gm26871,0.999,0.951,1.050473186,1.62E-71,0.517572951
PVT-4,Fyn,0.978,0.931,1.050483351,4.55E-09,0.327702761
PVT-1,Ttc37,0.743,0.707,1.050919378,0.00189961,0.26746094
PVT-4,Nrd1,0.926,0.881,1.05107832,0.000534613,0.347078283
PVT-1,Ext1,0.904,0.86,1.051162791,0.000377575,0.179552259
PVT-4,Snca,0.923,0.878,1.051252847,2.86E-05,0.333616933
PVT-4,Efr3b,0.961,0.914,1.051422319,0.000344067,0.285358984
PVT-4,Pak7,0.92,0.875,1.051428571,7.80E-08,0.38942754
PVT-4,Snx10,0.876,0.833,1.051620648,0.007217035,0.313614525
PVT-1,Sh3d19,0.977,0.929,1.051668461,1.48E-19,0.273727475
PVT-1,Bin1,0.936,0.89,1.051685393,1.87E-09,0.26686598
PVT-1,Gtf2ird1,0.915,0.87,1.051724138,8.29E-12,0.291904709
PVT-1,Gm1992,0.873,0.83,1.051807229,1.37E-07,0.267369838
PVT-2,Fut8,0.953,0.906,1.05187638,4.81E-08,0.249858305
PVT-3,Rtl4,0.989,0.94,1.05212766,0.003488889,0.254925272
PVT-1,Gm29478,0.686,0.652,1.052147239,2.18E-07,0.577142709
PVT-2,Sh3d19,0.968,0.92,1.052173913,2.36E-12,0.328504101
PVT-4,Fmnl2,0.986,0.937,1.052294557,1.57E-32,0.683970744
PVT-3,Abhd18,0.86,0.817,1.052631579,0.000901919,0.407429583
PVT-2,Nrxn3,0.975,0.926,1.052915767,8.75E-51,0.732108585
PVT-4,Cntnap5c,0.994,0.944,1.052966102,1.20E-25,0.634798436
PVT-5,Rtl4,0.991,0.941,1.053134963,6.80E-06,0.416312904
PVT-1,Kcnip1,0.986,0.936,1.053418803,1.83E-05,0.110838504
PVT-3,Pard3,0.966,0.917,1.053435115,2.03E-15,0.510311583
PVT-1,Cdh7,0.936,0.888,1.054054054,7.51E-15,0.286861047
PVT-2,Prkch,0.934,0.886,1.054176072,1.29E-07,0.29361924
PVT-4,Lrrtm4,0.992,0.941,1.054197662,7.48E-09,0.47142024
PVT-2,Ddah1,0.963,0.913,1.054764513,1.09E-08,0.270403552
PVT-5,Car10,1,0.948,1.054852321,6.96E-38,0.801875091
PVT-4,Dpysl5,0.942,0.893,1.054871221,1.46E-05,0.306861663
PVT-5,Schip1,0.882,0.836,1.055023923,9.23E-10,0.904873848
PVT-4,Kcnip1,0.997,0.945,1.055026455,4.67E-24,0.522564246
PVT-2,Trpm3,0.938,0.889,1.05511811,1.18E-53,1.268434821
PVT-5,Lrrtm4,0.995,0.943,1.05514316,1.31E-66,1.368578926
PVT-2,Nin,0.974,0.923,1.055254605,3.63E-29,0.444619961
PVT-2,Pcdh17,0.934,0.885,1.055367232,1.86E-08,0.291482701
PVT-3,Kcnip1,1,0.947,1.055966209,1.02E-36,0.831852854
PVT-5,Cdh18,0.981,0.929,1.055974166,1.96E-06,0.588855706
PVT-2,Robo2,0.979,0.927,1.05609493,1.79E-06,0.217259959
PVT-2,Mir124a-1hg,0.941,0.891,1.056116723,0.001225398,0.203153399
PVT-3,Arhgap39,0.909,0.86,1.056976744,1.89E-07,0.483785981
PVT-4,Sgsm1,0.89,0.842,1.057007126,0.005404579,0.300343561
PVT-3,Fgd4,0.962,0.91,1.057142857,4.04E-08,0.368461117
PVT-3,Lrrtm4,0.996,0.942,1.057324841,5.02E-36,0.888238146
PVT-2,Dnm1,0.903,0.854,1.057377049,0.013928476,0.182811501
PVT-3,Rnf112,0.921,0.871,1.057405281,1.25E-07,0.43539627
PVT-5,Sgcz,0.901,0.852,1.057511737,3.68E-12,1.117425405
PVT-5,Syndig1,0.915,0.865,1.057803468,0.000958541,0.418077669
PVT-4,Tulp4,0.86,0.813,1.057810578,1.28E-10,0.550047436
PVT-1,Nhsl2,0.84,0.794,1.057934509,0.001481956,0.207662283
PVT-4,Cnot6l,0.857,0.81,1.058024691,0.01957974,0.300435278
PVT-3,Tmem150c,0.921,0.87,1.05862069,2.92E-07,0.445853373
PVT-1,Lrrtm4,0.985,0.93,1.059139785,2.24E-53,0.513743373
PVT-3,Nptxr,0.966,0.912,1.059210526,1.32E-13,0.525164324
PVT-2,Prkcb,0.979,0.924,1.05952381,6.62E-29,0.370463725
PVT-3,Focad,0.925,0.873,1.059564719,0.006159975,0.371736182
PVT-2,Atxn7l1,0.904,0.853,1.05978898,0.027915097,0.20957392
PVT-1,Ptn,0.828,0.781,1.060179257,0.002420475,0.187050975
PVT-3,Cnot6l,0.86,0.811,1.060419236,0.003012574,0.384442323
PVT-4,Armc9,0.824,0.777,1.06048906,0.002814107,0.336671226
PVT-4,Large1,0.961,0.906,1.060706402,3.45E-30,0.777386194
PVT-1,Dab2ip,0.871,0.821,1.06090134,3.22E-07,0.260705365
PVT-4,Memo1,0.887,0.836,1.061004785,0.003204449,0.312315725
PVT-2,Prox1,0.949,0.894,1.061521253,6.81E-17,0.35449345
PVT-1,Plxna2,0.947,0.892,1.061659193,2.54E-08,0.217692116
PVT-2,Sema6d,0.998,0.94,1.061702128,9.24E-88,0.705462897
PVT-3,Zfp609,0.894,0.842,1.06175772,1.33E-05,0.426990467
PVT-4,Camk4,0.89,0.838,1.062052506,0.000208232,0.335010312
PVT-5,Ptpn3,0.991,0.933,1.062165059,0.001122218,0.276098526
PVT-2,Fth1,0.883,0.831,1.062575211,5.07E-11,0.443544224
PVT-2,Dlc1,0.982,0.924,1.062770563,2.44E-56,0.587132814
PVT-1,Zfhx4,0.845,0.795,1.062893082,2.45E-07,0.307245593
PVT-2,Man1a2,0.946,0.89,1.062921348,1.12E-16,0.327264313
PVT-4,Tmem150c,0.923,0.868,1.063364055,4.65E-10,0.421295385
PVT-5,Brinp2,0.906,0.852,1.063380282,0.00505735,0.412151127
PVT-3,Tnks,0.955,0.898,1.063474388,3.07E-24,0.799716394
PVT-2,Grm8,0.977,0.918,1.064270153,9.41E-141,1.106552167
PVT-2,Helz,0.91,0.855,1.064327485,0.026361479,0.197168154
PVT-4,Atp8a1,0.972,0.913,1.064622125,2.74E-10,0.386541489
PVT-4,Fgd4,0.967,0.908,1.064977974,1.01E-10,0.432388652
PVT-5,Phactr2,0.995,0.934,1.065310493,0.002545481,0.291189183
PVT-1,Acsl3,0.88,0.826,1.065375303,0.000210871,0.227667516
PVT-4,Bbs9,0.939,0.881,1.065834279,3.45E-14,0.490448478
PVT-5,Kirrel3,1,0.938,1.066098081,1.11E-37,1.093900025
PVT-2,Ppp3cb,0.822,0.771,1.06614786,0.025409388,0.229832353
PVT-2,Serinc1,0.852,0.799,1.066332916,0.004460699,0.264797138
PVT-2,Atp2c1,0.958,0.898,1.066815145,8.99E-21,0.347309187
PVT-2,Osbpl9,0.958,0.898,1.066815145,6.64E-15,0.309138206
PVT-3,Xpr1,0.906,0.849,1.067137809,2.44E-07,0.452663303
PVT-3,Kirrel3,1,0.937,1.067235859,9.40E-102,1.707029629
PVT-1,Ammecr1,0.745,0.698,1.067335244,0.036397201,0.224699498
PVT-1,Timp3,0.901,0.844,1.067535545,1.76E-21,0.422976114
PVT-1,Osbpl10,0.821,0.769,1.067620286,5.68E-10,0.330927672
PVT-1,Wasf1,0.757,0.709,1.067700987,0.008340438,0.221291394
PVT-3,Mrtfb,0.962,0.901,1.067702553,2.17E-14,0.552934081
PVT-4,Tmem130,0.818,0.766,1.067885117,2.71E-05,0.408448485
PVT-4,Synj1,0.942,0.882,1.068027211,4.03E-07,0.367004153
PVT-1,Rtl4,0.988,0.925,1.068108108,9.03E-62,0.589319277
PVT-3,Odf2,0.83,0.777,1.068211068,0.028150489,0.35592445
PVT-2,Shc3,0.948,0.887,1.068771139,6.48E-23,0.428498615
