Cluster,Gene,PCT 1,PCT 2,PCT Ratio,p value,Average Log2FC
PVT-5,Me3,0.085,0.279,0.304659498,3.33E-06,-2.217472075
PVT-3,Gm37459,0.068,0.223,0.304932735,5.79E-05,-1.717054276
PVT-2,Tnni3k,0.011,0.036,0.305555556,0.014678551,-1.807333239
PVT-4,Mctp2,0.105,0.341,0.307917889,3.58E-17,-2.578153021
PVT-1,Dgkk,0.041,0.133,0.308270677,2.99E-12,-1.987418867
PVT-3,Trpc6,0.075,0.243,0.308641975,3.38E-06,-2.292692913
PVT-5,Mtnr1a,0.075,0.242,0.309917355,0.000450549,-1.801164027
PVT-3,Morc2b,0.064,0.206,0.310679612,0.000434509,-1.691275835
PVT-3,Gm20635,0.091,0.292,0.311643836,2.95E-08,-1.838636533
PVT-2,Hydin,0.029,0.093,0.311827957,1.16E-10,-1.595180002
PVT-4,Pth2r,0.039,0.125,0.312,0.019557472,-1.862635447
PVT-5,Tll1,0.189,0.602,0.313953488,1.94E-27,-2.653605801
PVT-5,Pdgfc,0.08,0.254,0.31496063,9.79E-05,-2.130948888
PVT-2,Rab3b,0.144,0.457,0.315098468,1.56E-90,-2.000397562
PVT-2,Tmem255a,0.151,0.478,0.315899582,7.46E-96,-1.951989015
PVT-2,Tmem200a,0.025,0.079,0.316455696,7.86E-09,-2.108199718
PVT-3,Prrg1,0.14,0.442,0.316742081,3.81E-18,-2.192091374
PVT-2,Ccnd2,0.09,0.284,0.316901408,8.47E-46,-1.783664333
PVT-2,Col5a1,0.039,0.123,0.317073171,2.38E-15,-1.634850591
PVT-2,Bnc2,0.013,0.041,0.317073171,0.008450252,-1.675259511
PVT-5,Col12a1,0.179,0.562,0.318505338,2.93E-23,-2.577586897
PVT-3,Gm48749,0.215,0.674,0.318991098,2.21E-39,-2.018495326
PVT-4,Gm15680,0.061,0.191,0.319371728,1.09E-05,-1.884661753
PVT-2,Gm26713,0.023,0.072,0.319444444,1.57E-07,-1.609393861
PVT-5,Mylk,0.057,0.178,0.320224719,0.043667993,-2.804096431
PVT-3,Plekhd1,0.053,0.165,0.321212121,0.019407202,-1.940287674
PVT-4,Tmem132d,0.163,0.507,0.321499014,6.01E-29,-1.863411298
PVT-2,Eda,0.112,0.348,0.32183908,2.98E-58,-1.840403556
PVT-2,Prex1,0.056,0.174,0.32183908,8.90E-24,-1.665605129
PVT-2,Rasal1,0.152,0.47,0.323404255,2.25E-86,-1.664745322
PVT-2,Rgs22,0.039,0.12,0.325,1.17E-14,-1.743332239
PVT-2,Gm15689,0.031,0.095,0.326315789,1.12E-10,-1.65482529
PVT-2,Cfap97d2,0.018,0.055,0.327272727,5.03E-05,-1.808526042
PVT-3,Vstm5,0.109,0.332,0.328313253,4.42E-10,-1.905145868
PVT-3,Bdnf,0.132,0.401,0.329177057,2.96E-13,-1.847972924
PVT-4,Adcy2,0.16,0.485,0.329896907,9.07E-29,-2.338284222
PVT-2,Shisal2b,0.039,0.118,0.330508475,9.66E-14,-1.663880449
PVT-3,Prlr,0.2,0.603,0.331674959,1.92E-32,-2.293531309
PVT-5,Prlr,0.198,0.596,0.332214765,1.84E-23,-2.071795015
PVT-1,Frmpd3,0.036,0.108,0.333333333,2.34E-08,-1.920143919
PVT-2,Rsph1,0.026,0.078,0.333333333,1.41E-07,-1.580824709
PVT-2,Togaram2,0.014,0.042,0.333333333,0.015247272,-1.602851015
PVT-3,Esr1,0.075,0.225,0.333333333,0.000172147,-1.886250973
PVT-4,Slc44a5,0.16,0.48,0.333333333,2.43E-29,-2.688460972
PVT-3,Mdga1,0.068,0.203,0.334975369,0.001660678,-1.591280045
PVT-2,Yap1,0.038,0.113,0.336283186,5.92E-13,-1.648534937
PVT-1,Smoc2,0.036,0.107,0.336448598,5.32E-08,-1.747761479
PVT-1,Adgrf4,0.032,0.095,0.336842105,1.48E-06,-1.708433244
PVT-5,Cast,0.09,0.267,0.337078652,0.00012237,-1.792140327
PVT-1,Myo5c,0.025,0.074,0.337837838,0.000417583,-1.694487786
PVT-3,Cbln4,0.057,0.168,0.339285714,0.037222079,-1.571158449
PVT-3,Gucy1a1,0.094,0.277,0.339350181,2.04E-06,-1.622013172
