Cluster,Gene,PCT 1,PCT 2,PCT Ratio,Average Log2FC,p value
PVT-1B,Bdnf,0.644,0.347,1.855907781,1.129552137,1.14E-31
PVT-1B,Dab1,0.778,0.913,0.852135816,-1.052930174,1.74E-31
PVT-1B,Grm1,0.995,0.978,1.017382413,0.584910398,7.32E-31
PVT-1B,Tenm2,0.983,0.993,0.989929507,-1.062151217,7.61E-31
PVT-1B,Il1rapl2,0.51,0.246,2.073170732,1.30762369,8.30E-31
PVT-1B,Ntm,0.998,1,0.998,-0.567098307,1.10E-30
PVT-1B,Lrrtm4,0.985,0.941,1.046758767,0.616109673,1.72E-30
PVT-1B,Sema5a,0.302,0.591,0.510998308,-1.667669431,3.79E-29
PVT-1B,Slc44a5,0.188,0.481,0.390852391,-2.472655048,7.11E-29
PVT-1B,Sntb1,0.937,0.856,1.094626168,0.724942362,1.09E-28
PVT-1B,Kcnmb4,0.566,0.286,1.979020979,1.180997612,1.50E-28
PVT-1B,Mrvi1,0.376,0.145,2.593103448,1.626684391,2.24E-28
PVT-1B,Sulf1,0.878,0.635,1.382677165,0.726900996,9.01E-28
PVT-1B,Zfp462,0.924,0.74,1.248648649,0.688878365,2.13E-27
PVT-1B,Opcml,0.963,0.989,0.973710819,-0.909255626,3.26E-27
PVT-1B,Gsg1l,0.044,0.319,0.137931034,-3.36955241,1.63E-26
PVT-1B,Fign,0.739,0.549,1.346083789,1.277731848,2.91E-26
PVT-1B,Slc35f1,0.995,0.992,1.003024194,0.463594071,3.25E-26
PVT-1B,Sntg2,0.907,0.736,1.232336957,0.669975954,1.37E-25
PVT-1B,Srgap1,0.998,0.996,1.002008032,0.414042978,2.36E-25
PVT-1B,Thsd7a,0.539,0.757,0.712021136,-1.153981758,3.59E-25
PVT-1B,Glra2,0.305,0.593,0.514333895,-1.322851453,1.85E-24
PVT-1B,Spock1,1,0.994,1.006036217,0.392505746,2.79E-24
PVT-1B,Cacnb4,0.995,0.992,1.003024194,0.389912468,3.24E-24
PVT-1B,Rcan2,1,0.989,1.011122346,0.386797229,5.00E-24
PVT-1B,Srrm4,1,0.967,1.034126163,0.469717512,5.65E-24
PVT-1B,Ankrd44,0.873,0.725,1.204137931,0.708147856,1.28E-23
PVT-1B,Sgcd,0.334,0.604,0.552980132,-1.637055161,2.47E-23
PVT-1B,Lrrtm3,0.988,0.972,1.016460905,0.4804002,2.56E-23
PVT-1B,Pak3,1,0.977,1.023541453,0.430710226,2.85E-23
PVT-1B,Hunk,0.351,0.142,2.471830986,1.462329345,4.49E-23
PVT-1B,Prkcb,0.859,0.962,0.892931393,-0.630936659,8.29E-23
PVT-1B,Anks1b,1,1,1,0.254375124,1.07E-22
PVT-1B,March1,1,0.992,1.008064516,0.325253821,1.56E-22
PVT-1B,Inpp4b,1,0.999,1.001001001,0.283606402,2.33E-22
PVT-1B,Angpt1,0.298,0.113,2.637168142,1.699988523,4.27E-22
PVT-1B,Gab2,0.856,0.704,1.215909091,0.793210899,4.69E-22
PVT-1B,Rims1,1,1,1,0.24235591,1.15E-21
